rodada,time,pontos
1,Sons of Númenor,78.16
1,Ironverdict,73.20
1,Icebergteam,72.96
1,Andorinha Jr,69.05
1,Andorinha,68.66
1,CEEC,67.86
1,Varelitas,67.70
1,Otopatamá,66.76
1,Lobo Negro,25.02
2,Icebergteam,82.90
2,Lobo Negro,79.48
2,Ironverdict,76.10
2,Sons of Númenor,73.30
2,CEEC,73.10
2,Otopatamá,72.58
2,Andorinha Jr,68.38
2,Andorinha,63.28
2,Varelitas,63.10
3,Ironverdict,95.16
3,Andorinha Jr,93.16
3,Andorinha,91.66
3,Lobo Negro,89.46
3,CEEC,87.16
3,Icebergteam,82.66
3,Otopatamá,81.06
3,Sons of Númenor,74.36
3,Varelitas,65.54
4,Ironverdict,88.50
4,Icebergteam,76.20
4,Andorinha Jr,71.40
4,Andorinha,69.80
4,CEEC,68.10
4,Sons of Númenor,65.30
4,Otopatamá,63.20
4,Varelitas,60.10
4,Lobo Negro,58.40
